NIC Maker,Models supported by Omnia,Models validated with current version of Omnia
Intel®,"* Ethernet 10G 4P X710/I350 rNDC
* Ethernet Converged Network Adapter X710
* 25GbE Ethernet Network Adapter E810
* 100GbE Ethernet Network Adapter E810
* I350GbE Ethernet Controller",
Broadcom ,"* 10GBASE-T Ethernet
* Gigabit Ethetnet BCM5720
* Adv Dual 10GBASE-t Ethernet
* Adv Dual 25Gb Ethernet
* NetXtreme Gigabit Ethernet
* BCM5760x","* 10GBASE-T Ethernet
* Gigabit Ethetnet BCM5720
* Adv Dual 10GBASE-t Ethernet"
