OSS Title,License Name/Version #,Description,Version,,
dellemc.openmanage,GNU-General Public License v3.0," It is a systems management and monitoring application that provides a comprehensive view of the Dell EMC servers, chassis, storage, and network switches on the enterprise network",9.6.0,,
kubernetes.core,GNU-General Public License v3.0,"The collection includes a variety of Ansible content to help automate the management of applications in Kubernetes and OpenShift clusters, as well as the provisioning and maintenance of clusters themselves.","5.2.0, 5.0.0",,
community.kubernetes,GPL-3.0-or-later,Kubernetes collection for ansible,2.0.1,,
csi powerscale driver ,Apache-2.0 license,CSI Driver for Dell PowerScale,2.14.0,,
external-snapshotter,Apache-2.0 license,Sidecar container that watches Kubernetes Snapshot CRD objects and triggers CreateSnapshot/DeleteSnapshot against a CSI endpoint.,8.3.0,,
Dell helm-charts,Apache-2.0 license,The source for Dell Helm charts,csi-isilon-2.14.0,,
CSI-attacher,Apache-2.0 license,"
Sidecar container that watches Kubernetes VolumeAttachment objects and triggers ControllerPublish/Unpublish against a CSI endpoint",4.8.1,,
CSI provisioner,Apache-2.0 license,Sidecar container that watches Kubernetes PersistentVolumeClaim objects and triggers CreateVolume/DeleteVolume against a CSI endpoint,5.2.0,,
CSI snapshotter,Apache-2.0 license,Sidecar container that watches Kubernetes Snapshot CRD objects and triggers CreateSnapshot/DeleteSnapshot against a CSI endpoint.,8.2.1,,
CSI resizer, Apache-2.0 license,Sidecar container that watches Kubernetes PersistentVolumeClaims objects and triggers controller side expansion operation against a CSI endpoint,1.13.2,,
CSI node driver registrar, Apache-2.0 license,Sidecar container that registers a CSI driver with the kubelet using the kubelet plugin registration mechanism.,2.13.0,,
CSI external health monitor controller, Apache-2.0 license,This repo contains sidecar controller and agent for volume health monitoring.,0.14.0,,
CSI replicator, Apache-2.0 license,Dell Container Storage Modules (CSM) for Replication aims at extending native Kubernetes functionality to support Disaster Recovery workflows by utilizing storage array based replication.,1.12.0,,
podmon, Apache-2.0 license,A Kubernetes pod monitor for safely terminating pods with persistent volumes in case of node failures,1.13.0,,
csm-authorization-sidecar, Apache-2.0 license,CSM Authorization provides multi-tenancy for organizations/service providers that segregates storage usage across customers or business units,2.2.0,,
csm metadata retriever, Apache-2.0 license,Dell csi-metadata-retriever controller to retrieve various metadata from the cluster using kubeapi.,1.11.0,,
snapshot controller, Apache-2.0 license,"The snapshot-controller in Kubernetes manages the creation and management of volume snapshots, enabling point-in-time copies of your data for CSI drivers",8.2.1,,
xilinx-device-plugin,Apache License 2.0,The AMD-Xilinx device plugin for Kubernetes is a Daemonset deployed on the Kubernetes(k8s) cluster,1.2.0,,
OpenLDAP,"The OpenLDAP Public License
  Version 2.8","OpenLDAP is a free, open-source implementation of the Lightweight Directory Access Protocol (LDAP) developed by the OpenLDAP Project",2.6.0,,
LDAP ToolBox,GNU General Public License v3.0 ,OpenLDAP server installation,commit :a8e5b8fdbf3e5885f4c412945c8fe51d03dd01c9,,
libsodium,ISC License,"A modern, portable, easy to use crypto library.",1.0.18,,
OpenMPI (RHEL 9.6), 3-clause BSD license,Open MPI main development repository,5.0.8,,
helm (RHEL 9.6),Apache-2.0,Kubernetes Package Manager,3.16.4,,
omsdk,Apache-2.0,DellEMC OpenManage Python SDK (OMSDK) is a python library that helps developers and customers to automate the lifecycle management of PowerEdge Servers,1.2.518,,
pysnmp,BSD-3-Clause License,Python SNMP library,7.1.20,,
activemq,Apache-2.0,"Most popular multi protocol, message broker",5.15.9,,
mySQL container,GPLv2 with exceptions and LGPLv2 and BSD,"MySQL is a multi-user, multi-threaded SQL database server. MySQL is a client/server implementation consisting of a server daemon (mysqld) and many different client programs and libraries. The base package contains the standard MySQL client programs and generic MySQL files.",9.3.0,,
golang,BSD-3-Clause License,"Go is a statically typed, compiled programming language designed at Google",1.24,,
postgresSQL,PostgresSQL License,"PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance.",16.8,,
idrac-telemetry-reference tools,Apache-2.0,Reference toolset for PowerEdge telemetry metric collection and integration with analytics and visualization solutions.,commit ID: 3e78774,,
389-ds (RHEL9.4),GPL,Light weight directory access protocol,2.6.1,,
snoopy,GPL 2.0,Snoopy is a small library that logs all program executions on your Linux/BSD system,2.5.1,,
hostname,GPLv2,Utility to set/show the host name or domain name,3.23,,
patch,GPLv3+,Utility for modifying/upgrading files,2.7.6,,
ansible.posix,GNU General Public License ,An Ansible Collection of modules and plugins that target POSIX UNIX/Linux and derivative Operating Systems.,2.0.0,,
ansible pylibssh,LGPL 2.1,Python bindings specific to Ansible use case for libssh,1.2.3,,
perl-DBD-Pg,GNU General Public License v3,Perl module that works with the DBI module to provide access to PostgreSQL databases.,3.16.1,,
pandas,BSD-3-Clause License,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures",2.2.3,,
python3-netaddr (RHEL 9.4/ubuntu),BSD License,A network address manipulation library for Python,0.8.0,,
psycopg2-binary,GNU Lesser General Public License,PostgreSQL database adapter for the Python programming language,2.9.10,,
requests,Apache-2.0,"A simple, yet elegant, HTTP library.",2.32.3,,
pyinstaller,"GNU General Public License, Apache 2.0",Freeze (package) Python programs into stand-alone executables,6.11.1,,
psutil,BSD 3-Clause License,Cross-platform lib for process and system monitoring in Python,6.1.1,,
squid,Apache License 2.0,http proxy server,6.6,,
jq,MIT License,Software for verifying syntax of json files,1.6,,
